interleaving remove - no failed removes;16;1;120000;0;strong;11;0.003802;31558450.984992;0;0;0;0;120000;99.999167;0;31558450.984992;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;12;0.003243;37007316.963352;0;0;0;0;120000;99.999167;0;37007316.963352;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;13;0.00329;36475649.768106;0;0;0;0;120000;99.999167;0;36475649.768106;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;14;0.003707;32371853.320974;0;0;0;0;120000;99.999167;0;32371853.320974;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;15;0.002886;41584782.187574;0;0;0;0;120000;99.999167;0;41584782.187574;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;16;0.003859;31097774.772811;0;0;0;0;120000;99.999167;0;31097774.772811;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;17;0.002944;40762503.388383;0;0;0;0;120000;99.999167;0;40762503.388383;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;18;0.004371;27455587.726895;0;0;0;0;120000;99.999167;0;27455587.726895;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;19;0.003678;32629195.298786;0;0;0;0;120000;99.999167;0;32629195.298786;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;20;0.004085;29375110.615651;0;0;0;0;120000;99.999167;0;29375110.615651;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;21;0.002791;43000565.099093;0;0;0;0;120000;99.999167;0;43000565.099093;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;22;0.003446;34824034.155413;0;0;0;0;120000;99.999167;0;34824034.155413;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;23;0.00336;35712500.089281;0;0;0;0;120000;99.999167;0;35712500.089281;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;24;0.003382;35485048.079283;0;0;0;0;120000;99.999167;0;35485048.079283;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;25;0.004479;26793004.614425;0;0;0;0;120000;99.999167;0;26793004.614425;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;26;0.003927;30559778.747202;0;0;0;0;120000;99.999167;0;30559778.747202;0;0;0
interleaving remove - no failed removes;16;1;120000;0;strong;27;0.004944;24271162.279216;0;0;0;0;120000;99.999167;0;24271162.279216;0;0;0
